BJD - 2454833, Corrected Flux
2754.432805901, 0.998558018,
2754.453237855, 0.998715754,
2754.473669708, 0.998670208,
2754.494101762, 0.998463579,
2754.514533615, 0.997946370,
2754.534965567, 0.998011117,
2754.575829571, 0.998049352,
2754.596261423, 0.997943431,
2754.616693474, 0.998419406,
2754.637125425, 0.997873248,
2754.657557276, 0.997744388,
2754.677989326, 0.998176490,
2754.698421276, 0.997240648,
2754.718853225, 0.998092670,
2754.739285174, 0.998381226,
2754.759717123, 0.998046930,
2754.780149172, 0.999875060,
2754.800581020, 0.997837331,
2754.821012968, 0.997765265,
2754.841445015, 0.997865780,
2754.861876863, 0.997382242,
2754.882308809, 0.997609560,
2754.902740856, 0.997648179,
2754.923172702, 0.998001372,
2754.943604648, 0.998191996,
2754.964036694, 0.998107413,
2754.984468539, 0.997778442,
2755.004900483, 0.997063786,
2755.025332528, 0.997599325,
2755.066196316, 0.997371089,
2755.086628360, 0.997335778,
2755.107060303, 0.997542076,
2755.127492145, 0.997769736,
2755.147924188, 0.997344318,
2755.168356130, 0.997623371,
2755.188788072, 0.997567747,
2755.209220014, 0.997439631,
2755.229651855, 0.997380486,
2755.250083895, 0.997084555,
2755.270515836, 0.997200527,
2755.290947676, 0.997138297,
2755.311379716, 0.997083783,
2755.331811656, 0.997184533,
2755.352243495, 0.996488411,
2755.372675534, 0.997690042,
2755.393107472, 0.996788236,
2755.413539410, 0.996497839,
2755.433971348, 0.996860584,
2755.454403286, 0.997229681,
2755.474835223, 0.996939891,
2755.495267160, 0.996941731,
2755.515699096, 0.996538252,
2755.556562968, 0.996575631,
2755.576994904, 0.996632207,
2755.597426839, 0.995672654,
2755.617858874, 0.996780318,
2755.638290708, 0.996529570,
2755.658722743, 0.996627103,
2755.679154676, 0.996391522,
2755.699586510, 0.996300754,
2755.720018543, 0.996656623,
2755.740450476, 0.996230459,
2755.760882309, 0.996015376,
2755.801746273, 0.996315751,
2755.822178105, 0.996570668,
2755.842610136, 0.996416887,
2755.863042067, 0.996451140,
2755.883473997, 0.996048462,
2755.903905928, 0.996446886,
2755.924337858, 0.996428943,
2755.944769787, 0.996176037,
2755.965201717, 0.996117765,
2755.985633646, 0.996948321,
2756.006065574, 0.996373582,
2756.026497503, 0.996481424,
2756.046929431, 0.996142354,
2756.067361458, 0.996262399,
2756.087793286, 0.996286386,
2756.108225213, 0.995777134,
2756.128657239, 0.995763773,
2756.149089066, 0.996090897,
2756.169520992, 0.995946219,
2756.189953018, 0.996476172,
2756.210384843, 0.996257969,
2756.230816768, 0.995918687,
2756.251248793, 0.996366295,
2756.271680617, 0.996106093,
2756.292112541, 0.995811155,
2756.312544565, 0.995464339,
2756.332976389, 0.995960141,
2756.353408312, 0.995935777,
2756.373840335, 0.995794387,
2756.394272157, 0.996254117,
2756.414704079, 0.995824488,
2756.435136101, 0.995892195,
2756.455568023, 0.995581294,
2756.475999844, 0.995572821,
2756.496431865, 0.995770187,
2756.537295805, 0.995863551,
2756.557727626, 0.995570730,
2756.578159545, 0.996067892,
2756.598591564, 0.995737576,
2756.619023383, 0.995658822,
2756.639455302, 0.995550971,
2756.659887320, 0.995747748,
2756.680319138, 0.995449773,
2756.700751056, 0.995905501,
2756.721182973, 0.995801308,
2756.741614890, 0.996176493,
2756.782478723, 0.995353834,
2770.798702440, 1.018769426,
2770.819134182, 1.018529970,
2770.839566024, 1.019030755,
2770.859997666, 1.019409246,
2770.880429408, 1.019602395,
2770.900861149, 1.020301104,
2770.921292891, 1.020271044,
2770.941724732, 1.020996661,
2770.962156373, 1.021377261,
2770.982588114, 1.020671101,
2771.003019954, 1.021417507,
2771.023451594, 1.022051212,
2771.043883335, 1.021927608,
2771.064315175, 1.022286254,
2771.084746815, 1.022789855,
2771.105178554, 1.023190430,
2771.125610394, 1.023464095,
2771.146042033, 1.023389980,
2771.166473872, 1.023634333,
2771.186905611, 1.023476333,
2771.207337350, 1.024606915,
2771.227769089, 1.024311756,
2771.248200827, 1.024778104,
2771.268632565, 1.024947768,
2771.289064303, 1.025026944,
2771.309496041, 1.025687421,
2771.329927779, 1.025855115,
2771.350359616, 1.026227716,
2771.370791253, 1.026313751,
2771.391222990, 1.026136157,
2771.411654827, 1.026286825,
2771.432086464, 1.026696735,
2771.452518301, 1.027179920,
2771.472950037, 1.027484961,
2771.493381673, 1.027286775,
2771.513813509, 1.027588529,
2771.534245245, 1.028171864,
2771.554676881, 1.027728721,
2771.575108716, 1.027950548,
2771.595540451, 1.028154733,
2771.615972087, 1.028724238,
2771.636403921, 1.028848889,
2771.656835556, 1.029283307,
2771.677267291, 1.028631652,
2771.697699125, 1.029670690,
2771.738562594, 1.029465962,
2771.758994327, 1.029469030,
2771.779426061, 1.030004861,
2771.799857795, 1.029911650,
2771.820289528, 1.030286623,
2771.840721261, 1.030468314,
2771.861153094, 1.030033165,
2771.881584727, 1.030373128,
2771.902016460, 1.030574467,
2771.922448292, 1.030348785,
2771.942879924, 1.030393181,
2771.963311756, 1.030668872,
2771.983743488, 1.031289130,
2772.004175120, 1.031363738,
2772.024606952, 1.031643030,
2772.045038683, 1.031010835,
2772.065470314, 1.031158441,
2772.085902145, 1.032075405,
2772.106333877, 1.031538187,
2772.126765507, 1.031566621,
2772.147197338, 1.032173760,
2772.167629068, 1.031708532,
2772.188060798, 1.032063606,
2772.208492528, 1.032380607,
2772.228924258, 1.032132837,
2772.249356088, 1.032173183,
2772.269787717, 1.032049678,
2772.290219447, 1.032697667,
2772.310651176, 1.031712854,
2772.331082905, 1.031745813,
2772.351514634, 1.032809883,
2772.371946462, 1.032794504,
2772.392378091, 1.032390121,
2772.412809819, 1.032617764,
2772.433241647, 1.033366148,
2772.453673275, 1.033076868,
2772.474105003, 1.033168556,
2772.494536830, 1.033127162,
2772.514968458, 1.032482407,
2772.535400285, 1.032986224,
2772.555832013, 1.033169064,
2772.576263639, 1.033310905,
2772.596695466, 1.033586860,
2772.617127193, 1.033726509,
2772.637558819, 1.033352191,
2772.657990646, 1.032747825,
2772.678422372, 1.033068484,
2772.719285823, 1.033470622,
2772.739717549, 1.033035170,
2772.760149274, 1.034109430,
2772.780581000, 1.033564137,
2772.801012725, 1.033505306,
2772.821444550, 1.033772732,
2772.841876274, 1.033737589,
2772.862307899, 1.033755415,
2772.882739723, 1.034019615,
2772.903171448, 1.033913506,
2772.923603072, 1.033657363,
2772.944034896, 1.033943578,
2772.964466620, 1.033711569,
2772.984898243, 1.034223007,
2773.005330067, 1.034031000,
2773.025761790, 1.033400435,
2773.046193413, 1.034292101,
2773.066625236, 1.033997711,
2773.087056959, 1.033327117,
2773.107488581, 1.034427260,
2773.127920404, 1.033560549,
2773.148352026, 1.035175365,
2773.168783848, 1.033993583,
2773.189215570, 1.033770090,
2773.209647292, 1.033572917,
2773.230079013, 1.033814892,
2773.250510735, 1.033858400,
2773.270942456, 1.034025751,
2773.291374177, 1.034337808,
2773.311805898, 1.034090327,
2773.332237619, 1.033459617,
2773.352669340, 1.034581311,
2773.373101060, 1.033585168,
2773.393532781, 1.034263743,
2773.413964601, 1.033614109,
2773.434396221, 1.034137339,
